,Channel,B,T,Isotope,G,sigma
161,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.006812920690579608,0.001,T,3.55420798693425e-16,0.0339057532285635
162,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01,0.001,H,3.68920605578592e-17,0.00203190240257836
163,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01,0.001,T,4.46900403122050e-16,0.0426325494785460
164,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01467799267622069,0.001,H,3.61923332541281e-17,0.00199336355253579
165,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01467799267622069,0.001,T,5.16572415000872e-16,0.0492789867449777
166,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.021544346900318832,0.001,H,3.07769532688618e-17,0.00169510090641224
167,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.021544346900318832,0.001,T,5.20650283193380e-16,0.0496679994114904
168,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.03162277660168379,0.001,H,2.16444158336565e-17,0.00119210854232003
169,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.03162277660168379,0.001,T,4.33019778587965e-16,0.0413083922208922
170,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.046415888336127774,0.001,H,1.16491884999907e-17,0.000641601844497048
171,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.046415888336127774,0.001,T,2.75976354467734e-16,0.0263270641614105
