,Channel,B,T,Isotope,G,sigma
158,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.004641588833612777,0.001,H,2.93833331832022e-17,0.00161834455402872
159,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.004641588833612777,0.001,T,2.66095003449695e-16,0.0253844219457212
160,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.006812920690579608,0.001,H,3.38338754893170e-17,0.00186346687758093
161,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.006812920690579608,0.001,T,3.50575928403250e-16,0.0334435715636555
162,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01,0.001,H,3.68861317950588e-17,0.00203157586436943
163,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01,0.001,T,4.39671608712413e-16,0.0419429507823128
164,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01467799267622069,0.001,H,3.61861523979324e-17,0.00199302312978997
165,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.01467799267622069,0.001,T,5.06840607189837e-16,0.0483506103659877
166,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.021544346900318832,0.001,H,3.07690286206135e-17,0.00169466444090796
167,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.021544346900318832,0.001,T,5.09683013973050e-16,0.0486217648491273
168,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.03162277660168379,0.001,H,2.16384088959205e-17,0.00119177769847359
169,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.03162277660168379,0.001,T,4.23000502952398e-16,0.0403525925364693
170,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.046415888336127774,0.001,H,1.16454322597497e-17,0.000641394962217910
171,"{'alpha': 'd', 'beta': 'd', 'alphaprime': 'c', 'betaprime': 'c'}",0.046415888336127774,0.001,T,2.69088695011438e-16,0.0256700084046680
